id,cost,LB,f_hat,num_coll,cost-to-go,h_hat,parent
123964661832128,2149,2128,2149,105,184,0,
123964660016704,2149,2153,2149,104,184,0,123964661832128
123964660126720,2149,2164,2149.0,104,184,0.0,123964660016704
123964658740608,2149,2165,2149.0,104,184,0.0,123964660126720
123964660074752,2151,2153,2151.0,101,182,0.0,123964658740608
123964659361472,2151,2153,2151.0,100,182,0.0,123964660074752
123964657944960,2151,2178,2151.0,100,182,0.0,123964659361472
123964658738368,2151,2178,2151.0,99,182,0.0,123964657944960
123964655777152,2151,2178,2151.0,98,182,0.0,123964658738368
123964659432512,2151,2188,2151.0,96,182,0.0,123964655777152
123964659386304,2151,2195,2151.0,95,182,0.0,123964659432512
123964657476992,2151,2195,2151.0,94,182,0.0,123964659386304
123964656782400,2180,2221,2180.0,92,153,0.0,123964657476992
123964658963776,2180,2221,2180.0,91,153,0.0,123964656782400
123964658424192,2180,2221,2180.0,90,153,0.0,123964658963776
123964656575104,2180,2221,2180.0,89,153,0.0,123964658424192
123964656014976,2182,2222,2182.0,88,151,0.0,123964656575104
123964657618048,2182,2222,2188.692307609941,87,151,6.692307609940829,123964656014976
123964657647488,2182,2222,2188.142857068265,86,151,6.1428570682653065,123964657618048
123964657728768,2182,2223,2187.5999999328,84,151,5.5999999328,123964657647488
123964658763968,2182,2225,2186.882352886609,83,151,4.882352886608997,123964657728768
123964660716032,2182,2225,2186.6111110598767,83,151,4.611111059876544,123964658763968
123964660646016,2182,2225,2186.5555555024075,82,151,4.555555502407407,123964660716032
123964660311744,2182,2225,2186.263157845374,81,151,4.263157845373962,123964660646016
123964657562752,2182,2227,2185.89999995515,78,151,3.89999995515,123964660311744
123964656118848,2191,2230,2194.347826052023,77,142,3.3478260520226844,123964657562752
123964656840128,2208,2244,2211.409090870351,75,125,3.40909087035124,123964656118848
123964656564224,2208,2255,2211.260869528355,75,125,3.2608695283553883,123964656840128
123964656157184,2209,2262,2212.2608695269378,75,124,3.260869526937618,123964656564224
123964656394880,2209,2263,2215.260869488998,72,124,6.26086948899811,123964656157184
123964658053504,2209,2263,2214.5384614766863,72,124,5.538461476686391,123964656394880
123964657791552,2209,2269,2214.4615383985206,71,124,5.46153839852071,123964658053504
123964656631680,2209,2283,2214.1851851256515,70,124,5.185185125651578,123964657791552
123964658383744,2221,2293,2225.8571428016326,68,112,4.857142801632653,123964656631680
123964657683712,2221,2293,2225.620689602592,67,112,4.620689602592153,123964658383744
123964658164608,2234,2303,2238.2666666183113,64,99,4.2666666183111115,123964657683712
123964656630208,2234,2308,2238.1290322114464,64,99,4.12903221144641,123964658164608
123964656227968,2234,2319,2238.0645160818312,63,99,4.064516081831425,123964656630208
123964656603968,2234,2319,2237.874999955195,62,99,3.8749999551953125,123964656227968
123964654709120,2234,2319,2237.6969696543983,61,99,3.6969696543985306,123964656603968
123964658480832,2234,2319,2237.5294117242215,60,99,3.5294117242214536,123964654709120
123964658455232,2234,2320,2237.314285676408,58,99,3.3142856764081636,123964658480832
123964654656576,2240,2324,2243.0810810469393,57,93,3.081081046939372,123964658455232
123964654797632,2240,2329,2244.4594594088385,55,93,4.459459408838568,123964654656576
123964658289408,2254,2329,2258.153846108047,54,79,4.153846108047337,123964654797632
123964655532736,2268,2334,2272.1052631103603,52,65,4.10526311036011,123964658289408
123964654899648,2268,2341,2271.9999999538463,52,65,3.9999999538461535,123964655532736
123964654175680,2268,2354,2271.769230724773,49,65,3.7692307247731756,123964654899648
123964650457920,2268,2370,2271.428571390204,48,65,3.4285713902040817,123964654175680
123964650865920,2268,2370,2271.2790697308383,47,65,3.2790697308382906,123964650457920
123964653225088,2268,2370,2271.1363636014357,46,65,3.1363636014359506,123964650865920
123964654009152,2268,2373,2270.9999999666666,45,65,2.9999999666666666,123964653225088
123964655817280,2276,2380,2278.6739130138326,41,57,2.6739130138327027,123964654009152
123964654963136,2276,2380,2278.4999999729166,40,57,2.499999972916666,123964655817280
123964658070592,2276,2383,2278.387755076214,39,57,2.3877550762140776,123964654963136
123964654286016,2277,2377,2279.279999975376,38,56,2.2799999753759996,123964658070592
123964654811520,2277,2392,2279.21999997558,37,56,2.21999997558,123964654286016
123964652593216,2306,2402,2308.117647035571,36,27,2.117647035570934,123964654811520
123964652357248,2308,2404,2310.0588235064015,35,25,2.058823506401384,123964652593216
123964650582144,2308,2410,2311.173076887685,33,25,3.173076887684912,123964652357248
123964653837184,2308,2410,2310.96296293059,32,25,2.9629629305898493,123964650582144
123964653975360,2325,2422,2327.7272726975207,30,8,2.727272697520661,123964653837184
123964653529920,2325,2422,2327.636363607124,29,8,2.636363607123967,123964653975360
123964651393408,2325,2423,2327.5892856856185,29,8,2.5892856856186226,123964653529920
123964651216960,2325,2424,2327.499999971875,28,8,2.4999999718750003,123964651393408
123964650433472,2325,2426,2327.4561403232997,28,8,2.456140323299477,123964651216960
123964653808448,2325,2426,2327.4561403228686,28,8,2.4561403228685754,123964650433472
123964652715648,2326,2428,2328.4561403224375,28,7,2.4561403224376734,123964653808448
123964652650176,2326,2429,2328.842105229751,27,7,2.842105229750693,123964652715648
123964651301568,2326,2436,2328.68965514088,26,7,2.689655140879905,123964652650176
123964651304704,2326,2424,2328.542372851623,25,7,2.542372851623097,123964651301568
123964653975424,2326,2424,2328.399999972,24,7,2.3999999720000003,123964651304704
123964650602304,2326,2424,2328.2622950556356,23,7,2.2622950556355823,123964653975424
123964651143424,2326,2424,2328.1290322333402,22,7,2.1290322333402703,123964650602304
123964650563136,2326,2426,2327.9999999768256,21,7,1.9999999768253969,123964651143424
123964652639616,2326,2424,2327.8749999783204,20,7,1.8749999783203126,123964650563136
123964652447168,2326,2423,2327.7538461336094,19,7,1.7538461336094677,123964652639616
123964651994368,2326,2425,2327.6363636175206,18,7,1.6363636175206613,123964652447168
123964651897344,2326,2423,2327.5223880422054,17,7,1.522388042205391,123964651994368
123964651966464,2326,2427,2327.323529396583,15,7,1.323529396583045,123964651897344
123964651446528,2326,2427,2327.199999986457,14,7,1.199999986457143,123964651966464
123964651997056,2326,2428,2327.0985915369174,13,7,1.0985915369172783,123964651446528
123964651738752,2326,2428,2326.99999998875,12,7,0.99999998875,123964651997056
123964651727680,2326,2429,2326.9041095788853,11,7,0.9041095788853443,123964651738752
123964652083392,2326,2429,2326.891891881888,11,7,0.8918918818882396,123964651727680
123964649398912,2326,2413,2326.810810801607,10,7,0.8108108016070125,123964652083392
123964649467648,2333,2417,2333.71999999184,9,0,0.7199999918400001,123964649398912
123964652342144,2333,2417,2333.639999992661,8,0,0.6399999926613333,123964649467648
123964650579392,2333,2417,2333.552631572621,7,0,0.5526315726211911,123964652342144
123964650111616,2333,2417,2333.4675324621894,6,0,0.46753246218923933,123964650579392
123964649879680,2333,2417,2333.461538456272,6,0,0.46153845627218937,123964650111616
123964649762176,2333,2417,2333.3846153801774,5,0,0.3846153801775148,123964649879680
123964648511936,2333,2428,2333.3797468310686,5,0,0.379746831068739,123964649762176
123964648583424,2333,2428,2333.3037974648164,4,0,0.30379746481653586,123964648511936
123964648681984,2333,2426,2333.224999997384,3,0,0.22499999738437504,123964648583424
123964650296960,2333,2426,2333.2222222196433,3,0,0.22222221964334704,123964648681984
123964648476224,2333,2439,2333.1481481464107,2,0,0.14814814641060814,123964650296960
123964649056000,2333,2444,2333.0731707308505,1,0,0.07317073085068412,123964648476224
123964649223296,2333,2444,2333.0,0,0,0.0,123964649056000
136491470202816,2296,2273,2296,121,269,0,
136491470670272,2296,2298,2296,120,269,0,136491470202816
136491467624704,2296,2309,2296.0,120,269,0.0,136491470670272
136491466541888,2296,2310,2296.0,120,269,0.0,136491467624704
136491469313728,2298,2298,2298.0,117,267,0.0,136491466541888
136491469374080,2298,2298,2298.0,116,267,0.0,136491469313728
136491468366080,2298,2323,2298.0,116,267,0.0,136491469374080
136491469730176,2298,2323,2298.0,115,267,0.0,136491468366080
136491466035136,2298,2323,2298.0,114,267,0.0,136491469730176
136491467215040,2298,2332,2298.0,112,267,0.0,136491466035136
136491466490496,2298,2339,2298.0,111,267,0.0,136491467215040
136491467427968,2298,2339,2298.0,110,267,0.0,136491466490496
136491469126784,2327,2365,2327.0,108,238,0.0,136491467427968
136491470822528,2327,2365,2327.0,107,238,0.0,136491469126784
136491465993472,2327,2365,2327.0,106,238,0.0,136491470822528
